ID,URL,Page,Item,Type,Light,Proposed action,Depends on,Owner,Status,Source,Notes,Verified live
QA-012,,Homepage,"Awards strip: FTC 2024, Gold Winner 2023, Great Place to Work 2023-2024, KMWorld, ISO 27001",Module,Orange,Trim dated badges,Andrew OK,Zamstars,open,scan,Not release-critical,"21 Sep live fetch: confirmed - FTC 2024, Gold Winner 2023, GPTW US 2024, GPTW UK 2023, Best Workplaces 2023"
QA-013,(global),Footer (site-wide),G2 reviews link,Reviews,TBD,Check it resolves + rating is current,-,Zamstars,open,scan,,"Not checked - G2 blocks automated fetch. Link sits in the site-wide footer, not only the homepage. Needs a human click"
QA-014,,QXP product page,Hero with pricing toggle (Annual Subscription / Perpetual License),Hero,Yellow,New hero per design A-02,MSG; A-02,Design + Vinodh,blocked,call+scan,Flagship,
QA-015,,QXP product page,All 'QuarkXPress 2026' mentions (multiple),Year ref,Green,Swap to new release name,MSG (name),Vinodh,blocked,scan,,
QA-016,,QXP product page,"Feature showcase: Variable Fonts, Math Equations, Quarky AI, Paste Into, Font Pairing, Paper Color Previews",Feature list,Yellow,Replace/reorder from master features list F-01,MSG; F-01,Design + Vinodh,blocked,scan,,
QA-017,,QXP product page,6 per-feature YouTube videos + 1 overview (youtu.be/5l54uqfpg1c),Video,Orange,Drop per-feature videos for new features; screenshots instead. Overview video: replace or remove,Q-06; Q-11 screenshots; F-04,Design -> Andrew,open,call+scan,DEC-09,
QA-018,,QXP product page,CTA 'See everything new in QXP 2026' -> whats-new page,CTA,Green,Relabel,MSG (name),Vinodh,blocked,call+scan,Andrew named this one on the call,
QA-019,,QXP product page,Reviews: 4 Gartner snippet iframes + Capterra logo + Martin Turner quote,Reviews,Orange,"Test embeds; fix, re-source or switch off now",Q-07,Vinodh -> Andrew,open,call+scan,Likely the 'broken reviews' from the call. DEC-14 allows acting now. Ready-made replacement exists: see QA-070,"21 Sep live fetch: host datainsights-cdn.dm.aws.gartner.com does not resolve in DNS from two separate networks (gartner.com does). Dead for every visitor, not a scraper artefact"
QA-020,,QXP product page,"System requirements: macOS 26/15/14, Windows 11/10",Spec,Yellow,Update to new release requirements,MSG,Vinodh,blocked,scan,,
QA-021,,QXP product page,AI features note: 'from v21.1 onwards',Version ref,Green,Check still accurate,MSG,Vinodh,blocked,scan,,
QA-022,,QXP product page,Add-ons section: Infografix card -> infografix.app (utm productpage),Module,Red,Remove card,Andrew OK,Vinodh,open,scan,Not raised on call,
QA-023,,QXP product page,'View comparison' -> content.quark.com/26_QXP_Features_Comparision_V22,PDF asset,Yellow,Same as nav row,Q-08,TBD,open,scan,,
QA-024,,What's New,Page title 'What's New in the Latest Version of QuarkXPress' - evergreen URL + title,Structure,Green,No change; add new block on top,MSG,Vinodh,blocked,scan,Running changelog v20 -> v22.0.1,
QA-025,,What's New,"New release block: features, images, (videos?)",Feature list,Yellow,Build from F-01 + F-03,MSG; screenshots,Design + Vinodh,blocked,scan,"Current block: 8 features, 7 with video",
QA-026,,What's New,Hero 'Watch Video' -> youtu.be/5l54uqfpg1c,Video,Orange,Replace with new video or remove button,Q-06; F-04,Andrew,open,call+scan,Andrew raised this button specifically,
QA-027,,What's New,'See Release Notes' -> /documentation/quarkxpress/2026/.../Release Notes.pdf,PDF asset,Yellow,Point to new release notes,Quark product team,TBD,blocked,scan,,
QA-028,,What's New,'Download the What's New PDF' -> content.quark.com/QXP_2026_What's_New_v22.0.1,PDF asset,Orange,New PDF or drop button,Q-08,Andrew,open,scan,Someone has to make this PDF; candidate to cut,
QA-029,,Shop,'QuarkXPress 2026' / '2025 (v21.1)' / macOS Tahoe mentions in copy + FAQs,Year ref,Green,Swap,MSG (name),Vinodh,blocked,scan,,
QA-030,,Shop,Buy buttons -> checkout.quark.com/1486/purl-qxp-subscription|license ... x-source=Aprilshop&x-campaign=26AprilPromo,Commerce link,TBD,Confirm whether tag affects price; set release campaign tag,Q-10,Vinodh,open,scan,Cleverbridge,
QA-031,,Shop,No prices or currency control in page text,Pricing,TBD,Visual check: how do 5 currencies render,Q-05,Vinodh,open,scan,Probably JS / Cleverbridge-injected,
QA-032,,Shop,No upgrade SKU visible,Commerce,TBD,Locate upgrade path for EOL version holders,Q-04,Vinodh + Andrew,open,call+scan,,
QA-033,,Renewals,'Renew Now' + 'Purchase Lookup' -> cleverbridge.com customer portal,Commerce link,Green,No change expected; click-test,-,Vinodh,open,scan,No upgrade offer on this page,
QA-034,(campaign LPs),Campaign landing pages,NOT INVENTORIED - old team kept one per campaign,Landing page,TBD,Inventory from Pardot email links,PARDOT,Vinodh,blocked,call,DEC-13: collapse to one page + params,
QA-035,https://www.quark.com/academic,Academic pricing,"9 hidden outbound links to unrelated third-party sites (unvi.es, condoforsalebangkok.com, kumarskitchen.com, technoservesolutions.com, mgapress.com.br, intersmartsolution.com, cvworld.in, silversea-media.my, ausfitprojects.com.au) sitting between header and content",Security,Red,Remove links; check page revisions + who edited (page modified 2025-10-20); rotate that user's password; scan site,-,Vinodh,open,scan2,Verified by live link extraction. NOT present on 39 other pages checked incl. /de/academic. Looks like SEO link injection in this page's content,21 Sep live fetch: STILL LIVE - all 9 links present
QA-036,(global),Header,Logo asset QuarkXPress_BRANDMARK_RGB_2026_v5_GRAY.webp,Brand asset,Yellow,New-year brandmark from Quark,Quark brand team,TBD,blocked,scan2,"Other pages still use 2025, 2023, 2022, 2021 brandmarks",
QA-037,(global),Localisation,"WPML 4.9.7, 7 languages (en + de, es, fr, it, ja, ko) - translated page copies, not auto-translate",Localisation,Orange,"Decide: update EN only at launch, translations after? Or machine-translate the delta",Andrew,Andrew,open,scan2,Answers Q-03. ~40-language switcher is a separate overlay widget,
QA-038,https://www.quark.com/page-layouts,Capability pages x5,"Shared block 'QuarkXPress 2026 Features' (heading + 3 in-body '2026' strings) identical on page-layouts, typography, graphics, photo-editing, digital-publishing",Feature list,Yellow,Rewrite once from F-01; check if it's one reusable block (then 1 edit) or 5 copies,MSG; F-01,Vinodh,blocked,scan2,Biggest single lever after the flagship pages,
QA-039,https://www.quark.com/page-layouts,Capability pages x5,"Shared licensing block (subscription vs perpetual, links to /shop)",Pricing copy,Green,No change unless licensing changes,MSG,Vinodh,open,scan2,,
QA-040,https://www.quark.com/typography-fonts-and-styles-in-creative-design,Typography,'The new AI-powered Font Pairing in QuarkXPress 2026' + video lL2RY3cUfVM (titled '...in QuarkXPress 2025' elsewhere),Year ref,Green,Swap year; 'new' no longer true,MSG (name),Vinodh,blocked,scan2,,
QA-041,https://www.quark.com/graphics-and-illustrations,Graphics,'Other software requires you to pay an extra $89.' (Pantone),Claim,Orange,Verify the competitor price is still true or soften,-,Andrew,open,scan2,Also on /6-reasons-to-switch and /brand-identity,21 Sep live fetch: confirmed verbatim. Page modified 2025-12-08
QA-042,https://www.quark.com/quarkxpress-trial,Trial,Meta description: '...be more productive with QuarkXPress 2021',Year ref,Green,Rewrite meta description without a year,-,Vinodh,open,scan2,Fix now. /quarkxpress-demo redirects here,21 Sep live fetch: confirmed - same string is also the og:description (social share text)
QA-043,https://www.quark.com/quarkxpress-trial,Trial,'What's New' video youtu.be/5l54uqfpg1c + Gartner review embeds (failed to load in scrape),Video + Reviews,Orange,"Same decision as product page (Q-06, Q-07)",Q-06; Q-07,Andrew,open,scan2,Every page CTAs here - highest-traffic release surface after homepage. Ready-made replacement exists: see QA-070,"21 Sep live fetch: 3 Gartner embeds on this page, all fail. Same dead host as QA-019"
QA-044,https://www.quark.com/ai-in-quarkxpress,AI in QuarkXPress,"'...on QuarkXPress 2026 (v21.1), at no additional cost' - 2026 is v22; v21.1 was 2025",Factual error,Green,Correct now: 'v21.1 onwards',-,Vinodh,open,scan1,From summarised fetch - eyeball before editing,"21 Sep live fetch: confirmed verbatim: 'on QuarkXPress 2026 (v21.1), at no additional cost'. Page modified 2025-11-06"
QA-045,https://www.quark.com/ai-in-quarkxpress,AI in QuarkXPress,"AI allowance: '7,200 Quarky AI pages and 5,000 Font Pairing instances annually'",Spec,Yellow,Confirm allowance for new release,MSG,Vinodh,blocked,scan1,Also on /products/quarkxpress/ai-faqs,
QA-046,https://www.quark.com/products/quarkxpress/ai-faqs,AI FAQs,"Version refs: 21.1, v21.0.3, 'QuarkXPress 2026', 'QuarkXPress 2025' user guide; 'perpetual users must update to v2026'",Year ref,Yellow,Update FAQ answers for new version,MSG,Vinodh,blocked,scan1,,
QA-047,https://www.quark.com/6-reasons-to-switch-to-quarkxpress,Switch page,'QuarkXPress 2026' latest-release copy; WATCH NOW -> youtu.be/5l54uqfpg1c; buy link utm_campaign=23QXPSwitch,Year ref + Video,Green,Swap year; video per Q-06; leave UTM,MSG (name),Vinodh,blocked,scan1,,
QA-048,https://www.quark.com/quarkxpress-for-students-and-teachers,Students & teachers,'Check out What's New in our 2026 release.' + WATCH NOW video 5l54uqfpg1c,Year ref + Video,Green,Swap year; video per Q-06,MSG (name),Vinodh,blocked,scan2,Price slots render empty in scrape (JS-filled),
QA-049,https://www.quark.com/academic,Academic pricing,'QuarkXPress 2026' x2 in copy,Year ref,Green,Swap,MSG (name),Vinodh,blocked,scan1,,
QA-050,(commerce),Academic / charity / government,"Purchases route via federation.proxi.id (eligibility verification), not Cleverbridge directly",Commerce,TBD,Confirm nothing version-specific is configured at Proxi.id,-,Vinodh,open,scan1,Third commerce system - not mentioned on the call,
QA-051,https://www.quark.com/qxp-government,Government,Hard-coded '$239 per year' maintenance renewal,Pricing,Yellow,Confirm price holds for new release,Quark,Andrew,open,scan1,Only hard-coded QXP price found on the site,21 Sep live fetch: confirmed verbatim
QA-052,https://www.quark.com/request-previous-version,Request previous version,Version dropdown stops at QuarkXPress 2024 (no 2025); will also need 2026 after launch,Form,Green,Add 2025 now; add 2026 at launch,-,Vinodh,open,scan1,Form submit target not visible,"21 Sep live fetch: confirmed - list runs QuarkXPress 2024 down to 7, plus CopyDesk 2023"
QA-053,https://www.quark.com/support/installers,Installers,New 'Recommended' tile for new version; demote 2026 v22.0.1; new files.quark.com hashes + utm_content,Release asset,Yellow,Build at launch; needs installer files from Quark product team,Quark product team,Vinodh,blocked,scan2,Launch-day critical: trial + buyers land here,
QA-054,https://www.quark.com/support/installers,Installers,"Existing defects: wrong alt text on 5 updaters, utm_content mismatches (21.1.2 tagged v21.1; June/May tagged v21.0.3), CopyDesk 2024 alt says 2022, Quark Update alt says 2.2.3, two file_url values start with %20, no 21.1.2 updater",Defect,Green,Fix in the same pass,-,Vinodh,open,scan2,,
QA-055,https://www.quark.com/support/documentation/quarkxpress/,Documentation index,"Needs new version tile; page is noindex,nofollow",Release asset,Yellow,Add tile at launch,Quark product team (docs),Vinodh,blocked,scan2,,
QA-056,https://www.quark.com/support/documentation/quarkxpress/quarkxpress-2026,Documentation 2026,"Clone for new version. Current page cross-links to 2019/2021/2023 docs, an http:// 2019 PDF, a '2025' key-commands file in the 2026 folder",Release asset,Yellow,Clone + relink at launch; docs come from Quark,Quark product team (docs),Vinodh,blocked,scan2,,
QA-057,https://www.quark.com/quarkxpress-tutorials,Tutorials,"66 videos, titles mix 2024 / 2025 / 2026; KB link points to legacy quarkportal.force.com",Video index,Orange,Leave titles (historic); fix KB link now; add new-release tutorials only if Quark makes them,-,Vinodh,open,scan2,Same legacy KB link on /solutions/quarkxpress-support-hub,
QA-058,https://www.quark.com/quarkxpress-training,Training,Promotes Udemy course + workbook 'QuarkXPress 2025: The Essentials & Beyond',Third-party,Orange,Leave; note it's two versions behind after launch,-,Andrew,open,scan2,,
QA-059,https://www.quark.com/quarkxpress-webinar-series,Webinar series,October 2021 webinars; Zoom registration links still live,Dead page,Red,Unpublish / redirect to /quarkxpress-tutorials,Andrew OK,Vinodh,open,scan2,5 years stale,
QA-060,https://www.quark.com/qxpcontest,Splash-screen contest,2023 contest; 2023 brandmark; 'upcoming release' wording; meta says 'Enter now',Dead page,Red,Unpublish / redirect,Andrew OK,Vinodh,open,scan2,,
QA-061,https://www.quark.com/choose-how-you-buy-complete,Campaign completion page,"'QuarkXPress 2024 Features', qxp24 logo, modified 2024-10-04, broken og:description",Dead page,Orange,"Check if any live form still lands here; if not, retire. If yes, update block",-,Vinodh,open,scan2,Pair: /choose-how-you-buy-thankyou,
QA-062,https://www.quark.com/pinterest-campaign,Pinterest promo LP,10% off subscription / 20% off perpetual; 4 checkout.quark.com links with x-source=mspublisher(affiliate) + audience IDs,Landing page,Orange,Is this promo still meant to run through a new release? Decide keep/pause,Andrew,Andrew,open,scan2,Only live discount LP found. Modified 2026-04-09. A template for DEC-13's single LP,
QA-063,https://www.quark.com/solutions/quarkxpress-support-hub,Support hub,"Maintenance wording: 'entitled to the latest version', 'previously called an Advantage Plan', a QuarkXPress 2020 upgrade example; shop.quark.com + qxpsales@quark.com links; modified 2024-10-28",Upgrade path,Yellow,Closest thing on the site to an upgrade explanation - read before writing upgrade email,Q-04,Andrew,open,scan2,"Partly answers Q-04: upgrades appear to be sold as maintenance, via Cleverbridge / sales email",
QA-064,https://www.quark.com/products/quarkxpress-copydesk,CopyDesk,"2021/22 data sheet, 2024 v20.1.1 system reqs (installers offer 2025 v21.1.2), 2021 artwork",Stale page,Orange,Out of release scope unless CopyDesk ships too - ask,MSG,Andrew,open,scan2,,
QA-065,https://www.quark.com/join-the-affiliate-program,Affiliate,Malformed CJ signup URL (second '?'); 2025 brandmark,Defect,Green,Fix URL,-,Vinodh,open,scan2,Low priority,21 Sep live fetch: confirmed - 'Get Started' button URL has a second '?' (cid=5620604?utm_source=...). Second CTA on the page is fine
QA-066,https://www.quark.com/about/news,News,"Every past release has a press release (2022, 2023, 2024, 2024 spring, 2025, 2025 spring, 2026)",Release asset,Yellow,New press release - who writes it?,MSG,Andrew,open,map,Not raised on the call,
QA-067,https://www.quark.com/about/blog,Blog,"Past releases have 1-2 launch blog posts ('QuarkXPress 2026 is here and ready for macOS Tahoe', 'Variable fonts is here...')",Release asset,Yellow,Launch blog post from F-01,MSG,Andrew,open,map,Not raised on the call. Old posts stay as-is,
QA-068,https://www.quark.com/brochure-layout-design,Use-case pages x5,"No year refs in copy (brochure, book, magazine, newspaper, brand identity). 2024-named image assets only. Copy slips: newspaper page says 'book', brand page has a 'Magazine Layout' heading",Evergreen,Green,No release change. Fix the two copy slips when convenient,-,Vinodh,open,scan2,Good news: 5 pages off the list,
QA-069,https://www.quark.com/request-previous-version,Request previous version,"Heading 'Explore the Latest Features in QXP 2026' + video youtu.be/M8FewBUzE1s - a second what's-new video, different from 5l54uqfpg1c used everywhere else",Year ref + Video,Green,Swap heading; video per Q-06. Check which of the two videos is the current one,MSG (name); Q-06,Vinodh,blocked,scan3,Found during the live check,21 Sep live fetch: found
QA-070,https://www.quark.com/request-previous-version,Request previous version,"Reviews shown as three plain-text Capterra 2025 quotes (Pete C, Luke D, Melinda E) - no iframe, loads fine",Reviews,Green,Reuse this block on the product and trial pages in place of the dead Gartner embeds,Q-07,Andrew,open,scan3,Answers Q-07 without new content: the site already has a working reviews pattern,21 Sep live fetch: found
QA-071,https://www.quark.com/ai-in-quarkxpress,AI in QuarkXPress,'available in QuarkXPress 2026!' and 'The new AI-powered Font Pairing in QuarkXPress 2026' - two year refs the first scan missed,Year ref,Green,Swap year; 'new' no longer true for Font Pairing,MSG (name),Vinodh,blocked,scan3,Same Font Pairing sentence as QA-040,21 Sep live fetch: found
